country,year,gdp_billions
"Bahrain, Kingdom Of",2021,40.84
Cyprus,2021,30.393
Oman,2021,87.324
Kuwait,2021,148.346
Jordan,2021,46.362
Israel,2021,489.736
Qatar,2021,179.732
Lebanon,2021,19.782
United Arab Emirates,2021,422.441
"Egypt, Arab Republic Of",2021,423.3
Saudi Arabia,2021,982.661
"Afghanistan, Islamic Republic Of",2021,14.278
"Yemen, Republic Of",2021,19.394
West Bank And Gaza,2021,18.109
Bangladesh,2021,416.265
Bhutan,2021,2.621
Cambodia,2021,36.797
Myanmar,2021,55.232
Brunei Darussalam,2021,14.006
Indonesia,2021,1186.51
Taiwan Province Of China,2021,776.965
"Hong Kong Special Administrative Region, People'S Republic Of China",2021,368.954
Sri Lanka,2021,88.609
Malaysia,2021,373.785
Lao People'S Democratic Republic,2021,18.533
"Macao Special Administrative Region, People'S Republic Of China",2021,30.969
"Korea, Republic Of",2021,1942.314
"Timor-Leste, Democratic Republic Of",2021,3.625
India,2021,3167.271
Singapore,2021,436.591
Philippines,2021,394.087
Maldives,2021,5.24
Nepal,2021,36.927
Pakistan,2021,348.481
"Palau, Republic Of",2021,0.236
Thailand,2021,506.195
Djibouti,2021,3.393
Vietnam,2021,370.076
Botswana,2021,18.75
Angola,2021,84.375
Algeria,2021,185.85
Central African Republic,2021,2.672
Cameroon,2021,45.036
Burundi,2021,3.356
Cabo Verde,2021,2.053
"Congo, Democratic Republic Of The",2021,57.718
"Congo, Republic Of",2021,13.387
Chad,2021,16.975
"Comoros, Union Of The",2021,1.273
Benin,2021,17.699
"Equatorial Guinea, Republic Of",2021,12.222
Guinea-Bissau,2021,1.722
"Ethiopia, The Federal Democratic Republic Of",2021,99.261
"Gambia, The",2021,2.045
Gabon,2021,19.455
Guinea,2021,16.32
Ghana,2021,79.514
Malawi,2021,12.475
Kenya,2021,109.875
Cã´Te D'Ivoire,2021,72.833
Liberia,2021,3.509
