country_imf,country_display,date,year,month,log_exports,log_imports,exchange_rate,trade_balance,exports_mom_pct,imports_mom_pct,anomaly,anomaly_score,is_anomaly
Luxembourg,Luxembourg,2019-02-01,2019,2,18.49362894812083,17.453304643441022,0.8809680076468023,69559580.0,37.0274128249197,-16.76658221252906,1,0.1551275524550017,False
Luxembourg,Luxembourg,2019-03-01,2019,3,19.00813903272272,18.210637174465642,0.8847618726617157,98886009.0,67.28187675976163,113.2580065392193,1,0.13305799887569786,False
Luxembourg,Luxembourg,2019-04-01,2019,4,18.795463623144816,17.901385403183347,0.8898182546214936,85973591.0,-19.15815015286603,-26.600405562196052,1,0.15898031997740147,False
Luxembourg,Luxembourg,2019-05-01,2019,5,19.51267143146087,17.709779936260915,0.8940872385302759,248899930.0,104.87048476026817,-17.436745933982344,1,0.12622258114338142,False
Luxembourg,Luxembourg,2019-06-01,2019,6,18.76287397727655,17.84635977031197,0.8854729310924965,84494526.0,-52.75377634703751,14.634639457846955,1,0.1531094971669455,False
Luxembourg,Luxembourg,2019-07-01,2019,7,18.529009647584132,17.87223191034493,0.8913934029136799,53656877.0,-20.853081400104777,2.6209729408104954,1,0.1638694725570356,False
Luxembourg,Luxembourg,2019-08-01,2019,8,18.93310380513554,17.55983167258452,0.8987772543989239,124652825.0,49.794498761820336,-26.831138444217885,1,0.14667736378504803,False
Luxembourg,Luxembourg,2019-09-01,2019,9,18.498680541690298,17.381994809839426,0.908768316009016,72720299.0,-35.2361926169737,-16.29210327374032,1,0.1597965487444899,False
Luxembourg,Luxembourg,2019-10-01,2019,10,18.519435973660965,17.733413184494054,0.904767337112401,60084762.0,2.097232410579064,42.10817580407564,1,0.16217016796413797,False
Luxembourg,Luxembourg,2019-11-01,2019,11,19.614195180706332,17.505977576231103,0.9048993838066413,289801824.0,198.8463013929167,-20.342629143351985,1,0.09960678817601215,False
Luxembourg,Luxembourg,2019-12-01,2019,12,18.79059061656178,18.193740707600163,0.8998105898708322,65063557.0,-56.11530535414544,98.92608623419112,1,0.14448899022513462,False
Luxembourg,Luxembourg,2020-01-01,2020,1,18.879748797150246,17.819184784637482,0.9008713883246772,103460715.0,9.325357478774254,-31.240544796396986,1,0.15775446648002828,False
Luxembourg,Luxembourg,2020-02-01,2020,2,18.217936186190272,17.25662229036266,0.9170105456212746,50427029.0,-48.408467040080836,-43.02527901723393,1,0.15741580298026342,False
Luxembourg,Luxembourg,2020-03-01,2020,3,18.603722258181424,17.587015143960627,0.9038805234290014,76641043.0,47.07700040259073,39.151469518841544,1,0.1507219487111262,False
Luxembourg,Luxembourg,2020-04-01,2020,4,18.29837575591275,17.31373573439435,0.9206492418453492,55431115.0,-26.31319984752648,-23.911984477429616,1,0.16312458020375653,False
Luxembourg,Luxembourg,2020-05-01,2020,5,18.425595188264506,17.261616516682217,0.917275508285291,69114687.0,13.56661938785626,-5.078430476288198,1,0.16298298457901306,False
Luxembourg,Luxembourg,2020-06-01,2020,6,17.857510835105046,17.390046968483745,0.8885262983590463,21262048.0,-43.33901802751689,13.704234366242861,1,0.16573301430569293,False
Luxembourg,Luxembourg,2020-07-01,2020,7,18.763323297809297,17.257467724211686,0.8723422008814317,109618459.0,147.39411175149533,-12.416647691428206,1,0.12751840134994674,False
Luxembourg,Luxembourg,2020-08-01,2020,8,18.843051279988806,17.97349440901073,0.8454446636338186,88614895.0,8.299243495157405,104.62865288735573,1,0.1517205175604872,False
Luxembourg,Luxembourg,2020-09-01,2020,9,18.07417638949352,17.481341550255905,0.8480031453207637,31626969.0,-53.646570163385555,-38.8691091308103,1,0.15932229742842452,False
Luxembourg,Luxembourg,2020-10-01,2020,10,19.070245002344862,17.477196343202408,0.8492437870096451,152543723.0,170.7616213475354,-0.4136627647280511,1,0.12083170557893458,False
Luxembourg,Luxembourg,2020-11-01,2020,11,18.483803766869855,17.38960595623309,0.8447440827688129,70853441.0,-44.36964829154583,-8.386394100800555,1,0.1588836115100664,False
Luxembourg,Luxembourg,2020-12-01,2020,12,18.242508682084097,17.81769196829105,0.8217111013169972,28962462.0,-21.43902313221441,53.43180601275659,1,0.1628268208766297,False
Luxembourg,Luxembourg,2021-01-01,2021,1,18.481845342308166,17.227027443251036,0.821635300739061,75996200.0,27.04061630517898,-44.60409654117211,1,0.15552532681572145,False
Luxembourg,Luxembourg,2021-02-01,2021,2,17.77127915842477,17.59879596501079,0.8265897387149836,8275595.0,-50.863408955767106,45.02972450402554,1,0.16386293325087953,False
Luxembourg,Luxembourg,2021-03-01,2021,3,18.44073509446556,17.654213062640153,0.8404006153193886,55560532.0,95.31743979697,5.698138847359568,1,0.1465916403737857,False
Luxembourg,Luxembourg,2021-04-01,2021,4,18.463481675085273,17.708975441777696,0.8347872544681988,55292359.0,2.3007257055424724,5.628958962057284,1,0.16482290680659928,False
Luxembourg,Luxembourg,2021-05-01,2021,5,18.7385359614519,17.612119389765585,0.8233227738920266,92867877.0,31.66021495078293,-9.231334548340332,1,0.1558469568441968,False
Luxembourg,Luxembourg,2021-06-01,2021,6,18.473291324836964,17.820217333564127,0.8300759142154212,50546174.0,-23.298171543048653,23.133377034190296,1,0.1638187939970575,False
Luxembourg,Luxembourg,2021-07-01,2021,7,18.994308351948103,17.826065493236687,0.8458935712088718,122291846.0,68.3739194099993,0.586529364951005,1,0.14500179016791181,False
Luxembourg,Luxembourg,2021-08-01,2021,8,18.861430830360163,17.717133146065528,0.8494864468298842,105904558.0,-12.44276764513791,-10.320891597062943,1,0.1605823589836658,False
Luxembourg,Luxembourg,2021-09-01,2021,9,18.700906303076547,17.764555688344018,0.8495947047079263,80457030.0,-14.830306745088983,4.856497950302718,1,0.16079584264311875,False
Luxembourg,Luxembourg,2021-10-01,2021,10,19.201800009873836,17.511155449806665,0.861959274476579,178119993.0,65.01954076423392,-22.384283267648698,1,0.1407186252760188,False
Luxembourg,Luxembourg,2021-11-01,2021,11,18.629476642187893,18.223087717604248,0.8761135602467803,41148969.0,-43.57869616434341,103.79252997911625,1,0.1513714447009591,False
Luxembourg,Luxembourg,2021-12-01,2021,12,18.561424300039278,17.60425892143068,0.8846596175962372,70911899.0,-6.578842687747732,-46.14251563456915,1,0.15818562096170768,False
Luxembourg,Luxembourg,2022-01-01,2022,1,17.96432419228274,18.10874055483652,0.8838235046548187,-9843742.0,-44.959456339139635,65.61268319449762,1,0.16077130188186062,False
Luxembourg,Luxembourg,2022-02-01,2022,2,18.77350998665226,17.33801427228713,0.881686489917915,108439691.0,124.60784919054953,-53.7323095253675,1,0.12622290040413653,False
